117,91
118,90
118,92
119,118
119,88
117,119
120,117
121,42
122,116
122,114
121,122
123,121
124,71
124,34
123,124
125,123
125,115
126,125
127,13
128,39
128,41
127,128
129,127
129,43
130,129
131,14
131,20
132,131
132,35
133,132
134,19
134,23
135,134
135,33
133,135
136,133
136,17
137,136
138,18
139,22
140,15
140,36
139,140
138,139
137,138
141,137
142,24
142,32
143,142
144,21
144,25
143,144
145,143
145,37
146,145
146,40
141,146
130,141
147,130
147,38
148,147
149,95
149,96
150,149
150,94
148,150
151,148
152,46
152,45
153,152
154,83
154,86
155,154
156,78
156,84
155,156
157,155
158,85
159,80
160,81
160,82
159,160
161,159
161,79
162,161
162,2
158,162
157,158
163,157
163,89
164,163
164,87
153,164
165,153
166,50
166,51
167,166
167,54
168,167
168,16
169,168
169,53
170,169
170,52
171,170
172,101
172,102
171,172
165,171
173,165
174,105
174,26
175,174
176,47
176,113
177,176
178,103
178,100
179,178
179,77
177,179
180,177
180,30
181,180
181,111
182,181
182,27
183,182
184,72
185,44
186,70
187,49
188,48
188,1
187,188
186,187
189,186
190,56
191,74
191,73
192,191
192,75
190,192
193,190
193,93
194,193
195,104
195,98
196,195
197,28
197,29
198,197
198,55
196,198
194,196
199,194
200,68
201,67
202,66
202,106
201,202
203,201
203,97
204,203
204,99
200,204
205,200
206,59
206,61
207,206
208,60
208,58
207,208
209,207
209,62
210,209
211,65
212,69
212,64
211,212
213,211
213,63
210,213
205,210
214,205
214,57
215,214
216,107
217,108
217,109
216,217
218,216
218,110
215,218
219,215
220,3
220,76
221,220
222,8
222,4
221,222
223,221
224,6
224,7
225,224
225,5
223,225
226,223
226,31
227,226
228,9
229,12
229,11
228,229
230,228
230,10
227,230
219,227
199,219
189,199
185,189
184,185
183,184
175,183
173,175
151,173
126,151
120,126
231,120
231,112
